CodigoEstacion,mean_precipitation,std_precipitation,max_precipitation,observation_count,latitude,longitude,mean_hour
13027040,0.1,0.0,0.1,1,8.23584722,-74.96043889,15.0
15085030,0.1,0.0,0.1,4,11.21675,-72.35994444,8.5
16017020,0.1125,0.035355339059327376,0.2,8,7.68797222,-72.60547222,14.375
17025020,0.24,0.1341640786499874,0.4,5,13.3595,-81.35772194,6.4
21050060,0.1,0.0,0.1,2,2.19905556,-75.97227778,8.5
21065040,0.5333333333333333,0.40414518843273806,0.9,3,2.2525,-75.52944444,14.0
21097070,0.5,0.0,0.5,1,2.94261111,-75.30852778,4.0
21105040,0.5499999999999999,0.9,1.9,4,2.69680556,-75.29888889,5.5
21105050,1.6666666666666667,1.0016652800877814,2.7,3,2.60305556,-75.41833333,4.0
21205670,0.1,0.0,0.1,1,4.77088889,-74.43763889,19.0
23065120,0.1,0.0,0.1,2,5.14155556,-74.13936111,20.5
23097030,0.15000000000000002,0.07071067811865477,0.2,2,6.48513889,-74.40116667,12.0
25020470,0.1875,0.13562026818605374,0.5,8,9.11777778,-75.39333333,12.625
25025380,1.0342857142857145,0.8824907455414966,4.8,35,9.16388889,-75.04472222,10.457142857142857
29045190,0.2513942307692308,0.33322661830555894,2.34,416,10.91777778,-74.77972222,13.302884615384615
29047000,0.11305555555555556,0.06046578463156755,0.29,36,10.93663889,-74.75988889,14.916666666666666
29047070,0.1,0.0,0.1,4,10.26822222,-74.90786111,15.25
35160020,0.34285714285714286,0.15045717874984443,0.6,14,5.59972222,-72.91347222,12.0
35217060,0.5571428571428572,0.34572215654165056,1.1,7,5.5405,-72.23172222,15.857142857142858
35217090,0.125,0.05,0.2,4,5.56691667,-72.58355556,11.0
35225030,0.6542372881355932,0.5341193312031806,2.6,59,4.91047222,-71.43305556,10.796610169491526
35235010,0.3116279069767442,0.30799605928646406,1.4,43,6.01166667,-72.52927778,12.395348837209303
35235050,0.7,0.0,0.7,1,5.81858333,-72.16677778,11.0
44055010,1.8,0.0,1.8,1,0.7375,-75.23611111,6.0
48015050,0.3721868978805395,0.522816288476595,2.83,1038,-4.19386111,-69.94091667,13.354527938342967
51020011,0.39687500000000003,0.2934603067075737,1.1,32,1.14152778,-77.92897222,16.53125
52050060,0.32999999999999996,0.24966644414765338,0.8,10,1.0995,-77.29972222,13.4
52050080,0.35625,0.36509131277896306,1.2,16,1.09416667,-77.39197222,15.1875
52055090,0.2333333333333333,0.16143297699232972,0.5,12,1.10758333,-77.38936111,12.5
52055230,0.059071428571428566,0.058062915856872004,0.198,14,0.85708333,-77.67775,12.642857142857142
52057100,0.06588235294117648,0.06982646557085392,0.25,17,0.81378611,-77.66197778,12.882352941176471
54025010,6.7,0.0,6.7,194,4.89808333,-76.67666667,13.34020618556701
5311500149,0.3,0.0,0.3,2,3.88419444,-77.04938056,13.0
